pattern,title,difficulty_id,link,,,,,,,,,,,,,,,,,,,,,,
tree,Lowest Common Ancestor of a BST,1,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,,,,,,,,,,,,,,,,,,,,,,
tree,Binary Tree Level Order Traversal,2,https://leetcode.com/problems/binary-tree-level-order-traversal,,,,,,,,,,,,,,,,,,,,,,
tree,Binary Tree Right Side View,2,https://leetcode.com/problems/binary-tree-right-side-view,,,,,,,,,,,,,,,,,,,,,,
tree,Count Good Nodes in a Binary Tree,2,https://leetcode.com/problems/count-good-nodes-in-binary-tree,,,,,,,,,,,,,,,,,,,,,,
tree,Validate Binary Search Tree,2,https://leetcode.com/problems/validate-binary-search-tree,,,,,,,,,,,,,,,,,,,,,,
tree,Kth Smallest Element in a BST,2,https://leetcode.com/problems/kth-smallest-element-in-a-bst,,,,,,,,,,,,,,,,,,,,,,
tree,Construct Tree from Preorder and Inorder Traversal,2,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,,,,,,,,,,,,,,,,,,,,,,
tree,Binary Tree Max Path Sum,3,https://leetcode.com/problems/binary-tree-maximum-path-sum,,,,,,,,,,,,,,,,,,,,,,
tree,Serialize and Deserialize Binary Tree,3,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,,,,,,,,,,,,,,,,,,,,,,
trie,Implement Trie,2,https://leetcode.com/problems/implement-trie-prefix-tree,,,,,,,,,,,,,,,,,,,,,,
trie,Design Add and Search Word Data Structure,2,https://leetcode.com/problems/design-add-and-search-words-data-structure,,,,,,,,,,,,,,,,,,,,,,
trie,Word Search II,3,https://leetcode.com/problems/word-search-ii,,,,,,,,,,,,,,,,,,,,,,
heap_priority_queue,Kth Largest Element in a Stream,1,https://leetcode.com/problems/kth-largest-element-in-a-stream,,,,,,,,,,,,,,,,,,,,,,
heap_priority_queue,Last Stone Weight,1,https://leetcode.com/problems/last-stone-weight,,,,,,,,,,,,,,,,,,,,,,
